external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocserver.cpp	1147	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocserverbasicops.cpp	326	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocservercoll.cpp	536	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocserverslow.cpp	336	signal(SIGALRM, AlarmHandler);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocserverslow.cpp	341	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/secure/ocamsservice.cpp	64	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/secure/occlientbasicops.cpp	432	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/secure/occlientdirectpairing.cpp	620	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/secure/ocserverbasicops.cpp	349	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/tizen/SimpleClientServer/occlient.cpp	989	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/tizen/SimpleClientServer/ocrouting.cpp	93	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/tizen/SimpleClientServer/ocserver.cpp	1115	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/test/linux/occlient.c	80	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/test/linux/ocserver.c	72	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/service/coap-http-proxy/samples/proxy_client.c	369	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/service/coap-http-proxy/samples/proxy_main.c	82	signal(SIGINT, handleSigInt);
external/iotjs/deps/libtuv/src/unix/signal.c	185	sa_handler = uv__signal_handler;
external/iotjs/deps/libtuv/src/unix/signal.c	188	sigaction(signum, &sa, NULL)) return -errno;
external/iotjs/deps/libtuv/src/unix/signal.c	200	sa_handler = SIG_DFL;
external/iotjs/deps/libtuv/src/unix/signal.c	206	sigaction(signum, &sa, NULL)) abort();
external/iotjs/deps/libtuv/test/runner_linux.c	65	signal(SIGPIPE, SIG_IGN);
external/libcxx-test/support/assert_checkpoint.h	79	signal(SIGABRT, checkpointSignalHandler);
external/libtuv/source/tinyara/uv_tinyara_signal.c	195	sa_handler = uv__signal_handler;
external/libtuv/source/tinyara/uv_tinyara_signal.c	198	sigaction(signum, &sa, NULL)) return -errno;
external/libtuv/source/tinyara/uv_tinyara_signal.c	210	sa_handler = SIG_DFL;
external/libtuv/source/tinyara/uv_tinyara_signal.c	216	sigaction(signum, &sa, NULL)) abort();
external/mbedtls/net_sockets.c	155	signal(SIGPIPE, SIG_IGN);
external/mbedtls/sha256.c	177	sa_handler = sigill_handler;
external/mbedtls/sha256.c	179	sigaction(SIGILL, &new_action, &old_action);
external/mbedtls/sha256.c	189	sigaction(SIGILL, &old_action, NULL);
external/mbedtls/sha512.c	199	sa_handler = sigill_handler;
external/mbedtls/sha512.c	201	sigaction(SIGILL, &new_action, &old_action);
external/mbedtls/sha512.c	211	sigaction(SIGILL, &old_action, NULL);
external/mosquitto/mosquitto.c	124	signal(SIGPIPE, SIG_IGN);
external/protobuf/src/google/protobuf/compiler/subprocess.cc	366	signal(SIGPIPE, SIG_IGN);
external/protobuf/src/google/protobuf/compiler/subprocess.cc	442	signal(SIGPIPE, old_pipe_handler);
external/telnetd/telnetd_daemon.c	179	sa_handler = SIG_IGN;
external/telnetd/telnetd_daemon.c	181	sigaction(SIGCHLD, &sa, NULL) < 0) { int errval = errno;
external/wakaama/examples/server/lwm2mserver.c	923	signal(SIGINT, handle_sigint);
external/wakaama/examples/shared/tinydtls/tests/dtls-client.c	235	signal(sig, SIG_DFL);
external/wakaama/examples/shared/tinydtls/tests/dtls-client.c	441	signal(SIGINT, dtls_handle_signal) == SIG_ERR) { dtls_alert( );
external/wpa_supplicant/src/utils/eloop.c	167	signal(SIGSEGV, eloop_sigsegv_handler);
external/wpa_supplicant/src/utils/eloop.c	731	signal(SIGALRM, eloop_handle_alarm);
external/wpa_supplicant/src/utils/eloop.c	790	signal(sig, eloop_handle_signal);
framework/src/aifw/aifw_timer.cpp	164	sa_sigaction = aifw_timer_cb;
framework/src/aifw/aifw_timer.cpp	169	sigaction(AIFW_TIMER_SIGNAL, &act, NULL);
framework/src/aifw/aifw_timer.cpp	226	sa_handler = SIG_DFL;
framework/src/aifw/aifw_timer.cpp	227	sigaction(AIFW_TIMER_SIGNAL, &act, NULL);
framework/src/binary_manager/binary_manager_register_callback.c	134	sa_handler = (_sa_handler_t)binary_manager_signal_cb;
framework/src/binary_manager/binary_manager_register_callback.c	139	sigaction(SIGBM_STATE, &act, NULL);
framework/src/binary_manager/binary_manager_register_callback.c	166	sa_handler = SIG_DFL;
framework/src/binary_manager/binary_manager_register_callback.c	167	sigaction(SIGBM_STATE, &act, NULL);
framework/src/binary_manager/binary_manager_register_callback.c	201	sa_handler = SIG_DFL;
framework/src/binary_manager/binary_manager_register_callback.c	202	sigaction(SIGBM_STATE, &act, NULL);
framework/src/messaging/messaging_common.c	94	sa_sigaction = func;
framework/src/messaging/messaging_common.c	104	sigaction(signo, &act, NULL);
framework/src/preference/private_preference.c	291	sa_handler = (_sa_handler_t)preference_signal_cb;
framework/src/preference/private_preference.c	296	sigaction(SIG_PREFERENCE, &act, NULL);
framework/src/preference/shared_preference.c	296	sa_handler = (_sa_handler_t)preference_signal_cb;
framework/src/preference/shared_preference.c	301	sigaction(SIG_PREFERENCE, &act, NULL);
framework/src/task_manager/task_manager_internal.h	239	sa_sigaction = (_sa_sigaction_t)cb;
framework/src/task_manager/task_manager_internal.h	249	sigaction(SIGTM_TERMINATION, &act, NULL);
framework/src/task_manager/task_manager_set_callback.c	213	sa_sigaction = (_sa_sigaction_t)taskmgr_msg_cb;
framework/src/task_manager/task_manager_set_callback.c	223	sigaction(SIGTM_UNICAST, &act, NULL);
framework/src/task_manager/task_manager_set_callback.c	258	sa_sigaction = (_sa_sigaction_t)taskmgr_msg_cb;
framework/src/task_manager/task_manager_set_callback.c	266	sigaction(SIGTM_BROADCAST, &act, NULL);
lib/libc/aio/lio_listio.c	208	sigaction(SIGPOLL, &sighand->oact, NULL);
lib/libc/aio/lio_listio.c	311	sa_sigaction = lio_sighandler;
lib/libc/aio/lio_listio.c	317	sigaction(SIGPOLL, &act, &sighand->oact);
lib/libc/signal/sig_ignore.c	78	sa_handler = SIG_IGN;
lib/libc/signal/sig_ignore.c	82	sigaction(sig, &act, NULL);
lib/libc/signal/sig_set.c	92	sigset(int sig, CODE void (*func)(int sig)))(int sig) { _sa_handler_t disposition = SIG_ERR;
lib/libc/signal/sig_set.c	115	signal(sig, func);
lib/libc/signal/sig_set.c	125	signal(sig, disposition);
lib/libc/signal/signal.c	89	signal(int sig, CODE void (*func)(int sig)))(int sig) { struct sigaction act;
lib/libc/signal/signal.c	99	sa_handler = func;
lib/libc/signal/signal.c	124	sigaction(sig, &act, &oact);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/net_sockets.c	114	signal(SIGPIPE, SIG_IGN);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha256.c	163	sa_handler = sigill_handler;
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha256.c	165	sigaction(SIGILL, &new_action, &old_action);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha256.c	175	sigaction(SIGILL, &old_action, NULL);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha512.c	183	sa_handler = sigill_handler;
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha512.c	185	sigaction(SIGILL, &new_action, &old_action);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/library/sha512.c	195	sigaction(SIGILL, &old_action, NULL);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/programs/ssl/ssl_fork_server.c	105	signal(SIGCHLD, SIG_IGN);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/programs/ssl/ssl_server2.c	1629	signal(SIGTERM, term_handler);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/programs/ssl/ssl_server2.c	1630	signal(SIGINT, term_handler);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/programs/test/benchmark.c	428	signal(signum, sighandler);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls/programs/test/benchmark.c	434	signal(SIGALRM, sighandler);
os/board/bk7239n/src/components/psa_mbedtls/mbedtls_port/src/net_sockets.c	131	signal( SIGPIPE, SIG_IGN );
os/board/bk7239n/src/components/psa_mbedtls/mbedtls_port/src/timing_alt.c	89	signal( signum, sighandler );
os/board/bk7239n/src/components/psa_mbedtls/mbedtls_port/src/timing_alt.c	100	signal( SIGALRM, sighandler );
os/board/bk7239n/src/components/tfm_mbedtls/mbedtls/library/net_sockets.c	132	signal( SIGPIPE, SIG_IGN );
os/board/bk7239n/src/components/tfm_mbedtls/mbedtls/programs/ssl/ssl_fork_server.c	119	signal( SIGCHLD, SIG_IGN );
os/board/bk7239n/src/components/tfm_mbedtls/mbedtls/programs/ssl/ssl_server2.c	1457	signal( SIGTERM, term_handler );
os/board/bk7239n/src/components/tfm_mbedtls/mbedtls/programs/ssl/ssl_server2.c	1458	signal( SIGINT, term_handler );
